,,,,,,,,,,,,,,,,,,,
CITY OF LOS ANGELES - BUREAU OF SANITATION,,,,,,,,,,,,,,,,,,,
SANTA MONICA BAY BEACHES BACTERIAL TMDL,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DETAIL OF ANALYTICAL RESULTS,,,,,,,,,,,,,,,,,,,
JULY 2009 TO JUNE 2010,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ARRAY TUPLES,,,
FY 09-10,,,,,,,,,,,,Generated by SKARNYA at 07/28/2020 09:38:45 AM using the Production Database and WISARD V3.0,,,,,,,
SAMPLE DATE,TIME,LOCATION,CONSTITUENT,METHOD,UNITS,RESULT,BASE,QUAL,MDL,RML,ML,SAMPLE_ID,,,,LOCATIONS,METHODS,RTYPES,
,,,,,,,,,,,,,,,,,,,
08/18/2009,08:53,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,67,67,,,,,HT134250-100,,,,,,,
08/19/2009,08:26,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,280,280,,,,,HT134292-27,,,,,,,
08/20/2009,08:26,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,350,350,,,,,HT134336-27,,,,,,,
08/21/2009,08:19,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,350,350,,,,,HT134366-27,,,,,,,
08/22/2009,08:20,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,430,430,,,,,HT134397-27,,,,,,,
08/25/2009,08:46,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,210,210,,,,,HT134485-100,,,,,,,
08/26/2009,08:55,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,67,67,,,,,HT134525-27,,,,,,,
08/27/2009,08:52,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,ND,33.5,<,,,,HT134567-27,,,,,,,
08/28/2009,08:25,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,130,130,,,,,HT134600-27,,,,,,,
08/29/2009,08:20,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,130,130,,,,,HT134630-27,,,,,,,
09/01/2009,08:39,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,210,210,,,,,HT134710-100,,,,,,,
09/02/2009,08:47,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,580,580,,,,,HT134758-27,,,,,,,
09/03/2009,09:07,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,280,280,,,,,HT134802-27,,,,,,,
09/04/2009,08:55,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,130,130,,,,,HT134831-27,,,,,,,
09/05/2009,08:19,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,130,130,,,,,HT134865-27,,,,,,,
09/08/2009,08:23,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,280,280,,,,,HT134949-100,,,,,,,
09/09/2009,09:10,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,130,130,,,,,HT134986-27,,,,,,,
09/10/2009,08:55,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,67,67,,,,,HT135028-27,,,,,,,
09/11/2009,08:41,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,130,130,,,,,HT135063-27,,,,,,,
09/12/2009,08:35,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,210,210,,,,,HT135092-27,,,,,,,
09/15/2009,09:12,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,130,130,,,,,HT135181-100,,,,,,,
09/16/2009,08:37,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,350,350,,,,,HT135224-27,,,,,,,
09/17/2009,08:20,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,67,67,,,,,HT135267-27,,,,,,,
09/18/2009,08:40,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,280,280,,,,,HT135302-27,,,,,,,
09/19/2009,08:20,SMB-6-02,TOTAL COLIFORM (CS),SM9223,MPN/100ML,210,210,,,,,HT135336-27,,,,,,,
