['09/26/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['09/29/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['09/30/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['10/01/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['10/02/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['10/03/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '910', '910']
['10/06/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '740', '740']
['10/07/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['10/08/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1700', '1700']
['10/09/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['10/10/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['10/13/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['10/14/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1600', '1600']
['10/15/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1500', '1500']
['10/16/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['10/17/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '500', '500']
['10/20/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1100', '1100']
['10/21/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['10/22/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['10/23/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['10/24/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['10/27/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['10/28/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['10/29/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['10/30/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['10/31/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['11/03/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['11/04/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '4600', '4600']
['11/05/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1000', '1000']
['11/06/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['11/07/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['11/10/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['11/11/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '500', '500']
['11/12/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['11/13/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['11/14/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['11/17/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['11/18/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '830', '830']
['11/19/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '3200', '3200']
['11/20/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['11/21/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '2000', '2000']
['11/24/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['11/25/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['11/26/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['11/27/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['11/28/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '2900', '2900']
['12/01/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['12/02/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['12/03/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '740', '740']
['12/04/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['12/05/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['12/08/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['12/09/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['12/10/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1000', '1000']
['12/11/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '500', '500']
['12/12/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1300', '1300']
['12/15/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['12/16/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['12/17/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['12/18/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '660', '660']
['12/19/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1500', '1500']
['12/22/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '500', '500']
['12/23/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['12/24/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['12/25/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['12/26/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['12/29/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['12/30/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['12/31/2009', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['01/01/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['01/02/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['01/05/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['01/06/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['01/07/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['01/08/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '580', '580']
['01/09/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['01/12/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['01/13/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '2900', '2900']
['01/14/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1200', '1200']
['01/15/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['01/16/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['01/19/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '500', '500']
['01/20/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1200', '1200']
['01/21/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '740', '740']
['01/22/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '2200', '2200']
['01/23/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1100', '1100']
['01/26/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '740', '740']
['01/27/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1500', '1500']
['01/28/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '580', '580']
['01/29/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['01/30/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '500', '500']
['02/02/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['02/03/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['02/04/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['02/05/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['02/06/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1200', '1200']
['02/09/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['02/10/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '500', '500']
['02/11/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['02/12/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['02/13/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '500', '500']
['02/16/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['02/17/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['02/18/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['02/19/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['02/20/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '740', '740']
['02/23/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['02/24/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '660', '660']
['02/25/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['02/26/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '740', '740']
['02/27/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '910', '910']
['03/02/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['03/03/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '580', '580']
['03/04/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['03/05/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['03/06/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['03/09/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '910', '910']
['03/10/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['03/11/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['03/12/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['03/13/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['03/16/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '580', '580']
['03/17/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['03/18/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['03/19/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['03/20/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['03/23/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['03/24/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['03/25/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['03/26/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1900', '1900']
['03/27/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['03/30/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1700', '1700']
['03/31/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['04/01/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '500', '500']
['04/02/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['04/03/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['04/06/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['04/07/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['04/08/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['04/09/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['04/10/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '580', '580']
['04/13/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['04/14/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '660', '660']
['04/15/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '660', '660']
['04/16/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['04/17/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '660', '660']
['04/20/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['04/21/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '8700', '8700']
['04/22/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '2000', '2000']
['04/23/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['04/24/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['04/27/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['04/28/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '350', '350']
['04/29/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '1200', '1200']
['04/30/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['05/01/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['05/04/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['05/05/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['05/06/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['05/07/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['05/08/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['05/11/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['05/12/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['05/13/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['05/14/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['05/15/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['05/18/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '280', '280']
['05/19/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['05/20/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['05/21/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '500', '500']
['05/22/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['05/25/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['05/26/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '2300', '2300']
['05/27/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '4600', '4600']
['05/28/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['05/29/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['06/01/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['06/02/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['06/03/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['06/04/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['06/05/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['06/08/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['06/09/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['06/10/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '210', '210']
['06/11/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['06/12/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['06/15/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['06/16/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['06/17/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['06/18/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['06/19/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['06/22/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['06/23/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', 'ND', '33.5']
['06/24/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['06/25/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '130', '130']
['06/26/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['06/29/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '67', '67']
['06/30/2010', 'SMB-6-02', 'TOTAL COLIFORM (CS)', 'SM9223', '430', '430']
['07/01/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', '430', '430']
['07/02/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', '430', '430']
['07/03/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', '1400', '1400']
['07/04/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', '280', '280']
['07/07/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', '130', '130']
['07/08/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', '210', '210']
['07/09/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', '1500', '1500']
['07/10/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', 'ND', '33.5']
['07/11/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', '210', '210']
['07/14/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', '210', '210']
['07/15/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', '430', '430']
['07/16/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', '660', '660']
['07/17/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', 'ND', '33.5']
['07/18/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', '130', '130']
['07/21/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', '67', '67']
['07/22/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', '130', '130']
['07/23/2009', 'SMB-6-02', 'E COLI (CS)', 'SM9223', '67', '67']
